Date, Open, High, Low, Close
09/23/19, 8106.49, 8135.81, 8085.34, 8112.46
09/20/19, 8184.88, 8202.82, 8086.16, 8117.67
09/19/19, 8193.59, 8237.43, 8174.32, 8182.88
09/18/19, 8174.62, 8179.87, 8086.22, 8177.39
09/17/19, 8148.65, 8188.23, 8139.82, 8186.02
09/16/19, 8121.64, 8165.32, 8121.25, 8153.54
09/13/19, 8190.57, 8210.20, 8165.47, 8176.71
09/12/19, 8206.58, 8243.80, 8176.73, 8194.47
09/11/19, 8091.68, 8169.68, 8081.56, 8169.68
09/10/19, 8049.98, 8086.53, 8001.68, 8084.16
09/09/19, 8130.91, 8131.66, 8052.34, 8087.44
09/06/19, 8125.58, 8134.39, 8098.52, 8103.07
09/05/19, 8061.29, 8134.41, 8061.29, 8116.83
09/04/19, 7949.81, 7981.41, 7928.94, 7976.88
09/03/19, 7906.44, 7940.37, 7847.32, 7874.16
08/30/19, 8015.16, 8017.91, 7914.74, 7962.88
08/29/19, 7945.78, 7992.29, 7925.83, 7973.39
08/28/19, 7798.35, 7866.87, 7766.67, 7856.88
08/27/19, 7908.78, 7916.83, 7795.18, 7826.95
08/26/19, 7829.58, 7856.04, 7789.05, 7853.74
08/23/19, 7943.65, 8005.34, 7730.77, 7751.77
08/22/19, 8038.79, 8048.58, 7937.13, 7991.39
08/21/19, 8017.07, 8036.94, 7998.50, 8020.21
08/20/19, 7989.36, 8010.58, 7948.09, 7948.56
08/19/19, 8006.18, 8026.75, 7974.36, 8002.81
08/16/19, 7828.35, 7907.52, 7828.35, 7895.99
08/15/19, 7790.20, 7805.93, 7716.55, 7766.62
08/14/19, 7877.33, 7900.28, 7762.87, 7773.94
08/13/19, 7852.37, 8065.24, 7851.59, 8016.36
08/12/19, 7907.49, 7924.99, 7833.79, 7863.41
08/09/19, 7997.19, 8020.56, 7910.35, 7959.14
08/08/19, 7921.59, 8041.12, 7896.15, 8039.16
08/07/19, 7747.27, 7881.38, 7702.42, 7862.83
08/06/19, 7804.51, 7845.01, 7739.57, 7833.27
08/05/19, 7823.33, 7836.44, 7662.90, 7726.04
08/02/19, 8056.42, 8068.80, 7953.67, 8004.07
